track_id,track_artist,track_title,dj_mention,post_id,page,date,text,confidence,notes
53,Heiko Laux,Souldancer (Jonas Kopp Remix) | Kanzleramt,Dettmann&Klock monday about 2 pm ;),7731,Berghain Music,2014-12-15,Dettmann&Klock monday about 2 pm ;),high,extracted from post message only
53,Heiko Laux,Souldancer (Jonas Kopp Remix) | Kanzleramt,Dettmann,8753,Berghain Music,2014-06-23,Dettmann,high,extracted from post message only
53,Heiko Laux,Souldancer (Jonas Kopp Remix) | Kanzleramt,Dettmann. Enjoy :),9117,Berghain Music,2014-04-14,Dettmann. Enjoy :),high,extracted from post message only
53,Heiko Laux,Souldancer (Jonas Kopp Remix) | Kanzleramt,dettmann second round,9312,Berghain Music,2014-03-10,dettmann second round,high,extracted from post message only
53,Heiko Laux,Souldancer (Jonas Kopp Remix) | Kanzleramt,RØDHÅD,9400,Berghain Music,2014-03-03,RØDHÅD,high,extracted from post message only
53,Heiko Laux,Souldancer (Jonas Kopp Remix) | Kanzleramt,Dettmann,9478,Berghain Music,2014-02-17,Dettmann,high,extracted from post message only
53,Heiko Laux,Souldancer (Jonas Kopp Remix) | Kanzleramt,Heiko Laux!,9610,Berghain Music,2014-01-27,Heiko Laux!,high,extracted from post message only
54,747,Aurora Centralis [AQR006],Dr. Rubinstein @ 5am 😍,57,Berghain Music,2017-07-31,Dr. Rubinstein @ 5am 😍,high,extracted from post message only
55,Shlomi Aber,Under Two Worlds [FIGURE088],Dr. Rubinstein @ 5am!,58,Berghain Music,2017-07-31,Dr. Rubinstein @ 5am!,high,extracted from post message only
56,Willie Burns & DJ Overdose,Sonny and Ricardo Give Good Advice - Unknown To The Unknown,Dr Rubinstein <3,59,Berghain Music,2017-07-31,Dr Rubinstein <3,high,extracted from post message only
56,Willie Burns & DJ Overdose,Sonny and Ricardo Give Good Advice - Unknown To The Unknown,Marcel Dettmann,428,Berghain Music,2017-06-18,Marcel Dettmann,high,extracted from post message only
56,Willie Burns & DJ Overdose,Sonny and Ricardo Give Good Advice - Unknown To The Unknown,Dr. Rubinstein first track💊💊💊,846,Berghain Music,2017-04-24,Dr. Rubinstein first track💊💊💊,high,extracted from post message only
57,Paul Kalkbrenner,F.Fwd,Dr. Rubinstein,60,Berghain Music,2017-07-31,Dr. Rubinstein,high,extracted from post message only
57,Paul Kalkbrenner,F.Fwd,Regal ca. 13.00 :),2465,Berghain Music,2016-10-23,Regal ca. 13.00 :),high,extracted from post message only
