track_id,track_artist,track_title,count,first_seen,last_seen,source_url,notes
265,Radial,Asiel [Mord 001],2,2015-10-26,2017-07-03,https://youtube.com/watch?v=N8LLm9Jx4fw,drOpped-iN historical import (2010-2017)
266,Planetary Assault Systems,Pull [BLUEPRINT2016],4,2016-06-28,2017-07-03,https://youtube.com/watch?v=V7eu4uivfok,drOpped-iN historical import (2010-2017)
267,Thomas Bangalter,What To Do HD - FLAC,7,2014-08-11,2017-07-03,https://youtu.be/khBWLKuEKrM,drOpped-iN historical import (2010-2017)
268,Aphex Twin (aka AFX ),Elephant Song,7,2011-01-18,2017-07-03,https://youtu.be/berG8toPam8,drOpped-iN historical import (2010-2017)
269,The Chemical Brothers,Believe,1,2017-07-03,2017-07-03,https://youtu.be/QmRZ58oNCZU,drOpped-iN historical import (2010-2017)
270,Future Sound Of London,Papua New Guinea,3,2012-12-29,2017-07-02,https://youtu.be/IAvHjoLxxh8,drOpped-iN historical import (2010-2017)
271,Drax LTD II,Amphetamine,2,2015-05-25,2017-07-02,https://youtu.be/43gRZXpEAnI,drOpped-iN historical import (2010-2017)
274,Marmion,Schöneberg (Original Mix),2,2016-06-06,2017-07-02,https://youtu.be/50dngX7mb8c,drOpped-iN historical import (2010-2017)
276,Alpha 3,Gelb - N3B,5,2015-12-21,2017-07-02,https://youtube.com/watch?v=hV7IdbiHvC0&list=RDhV7IdbiHvC0#t=49,drOpped-iN historical import (2010-2017)
277,Planetary Assault Systems,In From The Night,7,2015-12-14,2017-07-02,https://youtu.be/uk3RB3MfhtU,drOpped-iN historical import (2010-2017)
278,Sigha,Christ Figures [TOKEN63],8,2016-09-04,2017-07-02,https://youtube.com/watch?v=o6HAt2efD7Y,drOpped-iN historical import (2010-2017)
279,Dj Rolando,Jaguar (Original mix),21,2012-11-26,2017-07-31,https://youtube.com/watch?v=C0f96HQbCY4,drOpped-iN historical import (2010-2017)
