track_artist,track_title,count,post_count,first_seen,last_seen,source_url
Helix,Drum Track (Night Slugs - NSWL010),2,2,2014-06-23,2014-10-21,http://youtu.be/ggspbj7PlzU
David Bowie/Pat Metheny,This Is Not America (Promo Clip),2,2,2011-10-10,2014-10-21,https://youtube.com/watch?v=MJRF8xGzvj4
Jovonn,I Can't Make Up My Mind (1993),2,2,2012-12-10,2014-10-21,https://youtube.com/watch?v=fGrgOEXrwS4
,"Carlos Nilmmns  ""I Thought I Had You"" (Skylax Classic 3)",1,1,2014-10-20,2014-10-20,http://youtube.com/watch?v=aoQ1FSvuYAc
Jovonn,You,1,1,2014-10-20,2014-10-20,http://youtube.com/watch?v=UB4qJLEZQis
Joe Smooth,Promised Land (Club Mix) (HQ),1,1,2014-10-20,2014-10-20,https://youtube.com/watch?v=Yz1xMiyrfsw
The Knife,Silent Shout (Shaken-Up Version),2,2,2014-07-21,2014-10-18,https://youtube.com/watch?v=mudDzKVgGPI
Fatima Yamaha,What's A Girl To Do (Done031),2,2,2013-09-10,2014-10-14,http://youtube.com/watch?v=7Ej6g3KhinM
Demian,With Love & Voodoo (Original Mix) (Clouded Vision / CLOUDED017) OFFICIAL,1,1,2014-10-14,2014-10-14,http://youtube.com/watch?v=d7xkgennR_c
Paul Woolford,Erotic Discourse (Dense & Pika Remix) (Hotflush Records),2,2,2014-06-09,2014-10-13,https://youtube.com/watch?v=s2OWD0_5Fkw
Suzy Q,I Can't Give You More (1981),2,2,2012-09-24,2014-10-12,http://youtube.com/watch?v=nXSnqov6PNA
Gabriel Ananda,Doppelwhipper (Platzhirsch Schallplatten) 2006,1,1,2014-10-12,2014-10-12,http://youtube.com/watch?v=QSmutTkO_hw
Henrik Schwarz,Unknown Touch Two,1,1,2014-10-12,2014-10-12,http://youtube.com/watch?v=byTO-HNbCHM
,Minilogue  Existensberättigande,2,2,2014-10-06,2014-10-09,https://youtube.com/watch?v=T5DRqIJisaI
Oniris,Endless Story (Original Mix) [Stripped Recordings],1,1,2014-10-07,2014-10-07,http://youtube.com/watch?v=xUaCM2b30hI
Woody,You Got That Vibe,1,1,2014-10-06,2014-10-06,http://youtube.com/watch?v=hnh3qo_Pk1w
,Todd Terry Presents- Sound Design-  Melissa's Dream.,1,1,2014-10-06,2014-10-06,http://youtube.com/watch?v=-Q_DmYQPfyw
